PHY_MODE	GEN	DATA_RATE (GB/S )	PLL_RATE_SEL[3:0]	PLL Frequency (GHz)	RX_VDDCAL_RATE_EN_LANE	RX_SPEED_DIV_LANE[2:0]	DTL_CLK_SPEEDUP_LANE[2:0]	RXINTPI_LANE[3:0]	INTPR_LANE[1:0]	DLL_FREQ_SEL_LANE[2:0]	EOM_DLL_FREQ_SEL_LANE[2:0]	RXREG_SPEEDTRK_DATA_LANE[2:0]	RXREG_SPEEDTRK_CLK_LANE[2:0]	RXREG_SPEEDTRK_CLK_HALF_LANE	SELMUFI_LANE[2:0]	SELMUFF_LANE[2:0]	SELMUPI_LANE[3:0]	SELMUPF_LANE[3:0]	DTL_CLK_MODE_LANE[1:0]	RX_FOFFSET_EXTRA_M_LANE[13:0]	INIT_RXFOFFS_LANE[12:0]	PU_SMPLR_D_P2_LANE[2:0]	PU_SMPLR_S_P2_LANE[2:0]	PU_SMPLR_D_P4_LANE[2:0]	PU_SMPLR_S_P4_LANE[2:0]	PATH_DISABLE_EDGE_P2P4_LANE	PATH_DISABLE_EDGE_P1P3_LANE	PU_SMPLR_D_P1_LANE[2:0]	PU_SMPLR_S_P1_LANE[2:0]	PU_SMPLR_D_P3_LANE[2:0]	PU_SMPLR_S_P3_LANE[2:0]	PATH_DISABLE_D_P1P3_LANE	PATH_DISABLE_S_P1P3_LANE	RXCLK_25M_CTRL_LANE[1:0]	RXCLK_25M_DIV1P5_EN_LANE	RXCLK_25M_DIV_LANE[7:0]	RXCLK_25M_FIX_DIV_EN_LANE	CTLE_LOW_SPEED_SEL_LANE[1:0]	CTLE_BYPASS1_EN_LANE	CTLE_BYPASS2_EN_LANE	CTLE_CURRENT1_SEL_LANE[3:0]	CTLE_RL1_SEL_LANE[3:0]	CTLE_RF_CTRL_LANE[3:0]	CTLE_RL1_TIA_SEL_LANE[3:0]	CTLE_CURRENT1_TIA_SEL_LANE[3:0]	CTLE_RL2_SEL_G_P2_LANE[3:0]	CTLE_CURRENT2_SEL_G_P2_LANE[3:0]	CTLE_RL2_SEL_G_P4_LANE[3:0]	CTLE_CURRENT2_SEL_G_P4_LANE[3:0]	DFE_CUR_SEL_G_LANE[3:0]	reg_dfe_rate_mode_lane[1:0]	reg_dfe_dis_lane	reg_dfe_tap_settle_scale_lane[1:0]	RXDLL_TEMP_A_LANE[7:0]	RXDLL_TEMP_B_LANE[7:0]	DFE_PAM2_MODE_LANE	RX_PAM2_EN_LANE	RX_HALFRATE_EN_LANE
SERDES	9	28.125	7	14.0625	1	0	4	E	0	7	7	7	7	0	4	5	4	5	2	1D97	0000	7	7	7	7	0	1	0	0	0	0	1	1	3	0	46	1	0	0	0	F	F	9	C	C	2	2	2	2	2	0	0	0	25	9D	0	1	1
SERDES	10	53.125	5	13.28125	1	0	4	E	0	7	7	6	7	0	4	5	4	5	2	1BF2	0000	7	7	7	7	0	1	0	0	0	0	1	1	3	0	42	0	0	0	0	F	F	9	C	C	2	2	2	2	2	0	0	0	25	9D	0	0	1
SERDES	11	56	8	14	1	0	4	E	0	7	7	7	7	0	4	5	4	5	2	1D76	0000	7	7	7	7	0	1	0	0	0	0	1	1	3	0	46	1	0	0	0	F	F	9	C	C	2	2	2	2	2	0	0	0	25	9D	0	0	1
SERDES	23	56.25	7	14.0625	1	0	4	E	0	7	7	7	7	0	4	5	4	5	2	1D97	0000	7	7	7	7	0	1	0	0	0	0	1	1	3	0	46	1	0	0	0	F	F	9	C	C	2	2	2	2	2	0	0	0	25	9D	0	0	1
SERDES	14	106.25	5	13.28125	1	0	4	E	0	7	7	6	7	0	4	5	4	5	2	1BF2	0000	7	7	7	7	0	0	7	7	7	7	0	0	3	0	42	0	0	1	1	F	F	C	F	F	2	2	2	2	2	2	0	0	25	9D	0	0	0
SERDES	15	112	8	14	1	0	4	E	0	7	7	7	7	0	4	5	4	5	2	1D76	0000	7	7	7	7	0	0	7	7	7	7	0	0	3	0	46	1	0	1	1	F	F	C	F	F	2	2	2	2	2	2	0	0	25	9D	0	0	0
SERDES	17	12.890625	4	12.890625	1	4	0	B	1	5	5	1	3	1	4	5	4	5	2	1B20	0000	7	7	7	7	0	1	0	0	0	0	1	1	3	1	56	1	2	1	1	C	C	4	C	C	8	8	8	8	8	0	0	0	25	A9	0	1	1
SERDES	18	51.5625	4	12.890625	1	0	4	B	1	5	5	6	3	0	4	5	4	5	2	1B20	0000	7	7	7	7	0	1	0	0	0	0	1	1	3	1	56	1	0	0	0	F	F	9	C	C	2	2	2	2	2	0	0	0	25	A9	0	0	1
SERDES	19	103.125	4	12.890625	1	0	4	B	1	5	5	6	3	0	4	5	4	5	2	1B20	0000	7	7	7	7	0	0	7	7	7	7	0	0	3	1	56	1	0	1	1	F	F	C	F	F	2	2	2	2	2	2	0	0	25	A9	0	0	0

